location_id,state_id,county_id
408,13,193
409,13,195
410,13,197
411,13,199
412,13,201
413,13,205
414,13,207
415,13,209
416,13,211
417,13,213
418,13,215
419,13,217
420,13,219
421,13,221
422,13,223
423,13,225
424,13,227
425,13,229
426,13,231
427,13,233
428,13,235
429,13,237
430,13,239
431,13,241
432,13,243
433,13,245
434,13,247
435,13,249
436,13,251
437,13,253
438,13,255
439,13,257
440,13,259
441,13,261
442,13,263
443,13,265
444,13,267
445,13,269
446,13,271
447,13,273
448,13,275
449,13,277
450,13,279
451,13,281
452,13,283
453,13,285
454,13,287
455,13,289
456,13,291
457,13,293
458,13,295
459,13,297
460,13,299
461,13,301
462,13,303
463,13,305
464,13,307
465,13,309
466,13,311
467,13,313
468,13,315
469,13,317
470,13,319
471,13,321
59,48,1
60,48,3
61,48,5
62,48,7
63,48,9
64,48,11
65,48,13
66,48,15
67,48,17
68,48,19
69,48,21
70,48,23
71,48,25
72,48,27
73,48,29
74,48,31
75,48,33
76,48,35
77,48,37
78,48,39
79,48,41
80,48,43
81,48,45
82,48,47
83,48,49
84,48,51
85,48,53
86,48,55
87,48,57
88,48,59
89,48,61
90,48,63
91,48,65
92,48,67
93,48,69
94,48,71
95,48,73
96,48,75
97,48,77
98,48,79
99,48,81
100,48,83
101,48,85
102,48,87
103,48,89
104,48,91
105,48,93
106,48,95
107,48,97
108,48,99
109,48,101
110,48,103
111,48,105
112,48,107
113,48,109
114,48,111
115,48,113
116,48,115
117,48,117
118,48,119
119,48,121
120,48,123
121,48,125
122,48,127
123,48,129
124,48,131
125,48,133
126,48,135
127,48,137
128,48,139
129,48,141
130,48,143
131,48,145
132,48,147
133,48,149
134,48,151
135,48,153
136,48,155
137,48,157
138,48,159
139,48,161
140,48,163
141,48,165
142,48,167
143,48,169
144,48,171
145,48,173
146,48,175
147,48,177
148,48,179
149,48,181
150,48,183
151,48,185
152,48,187
153,48,189
154,48,191
155,48,193
156,48,195
157,48,197
158,48,199
159,48,201
160,48,203
161,48,205
162,48,207
163,48,209
164,48,211
165,48,213
166,48,215
167,48,217
168,48,219
169,48,221
170,48,223
171,48,225
172,48,227
173,48,229
174,48,231
175,48,233
176,48,235
177,48,237
178,48,239
179,48,241
180,48,243
181,48,245
182,48,247
183,48,249
184,48,251
185,48,253
186,48,255
187,48,257
188,48,259
189,48,261
190,48,263
191,48,265
192,48,267
193,48,269
194,48,271
195,48,273
196,48,275
197,48,277
198,48,279
199,48,281
200,48,283
201,48,285
202,48,287
203,48,289
204,48,291
205,48,293
206,48,295
207,48,297
208,48,299
209,48,301
210,48,303
211,48,305
212,48,307
213,48,309
214,48,311
215,48,313
216,48,315
217,48,317
218,48,319
219,48,321
220,48,323
221,48,325
222,48,327
223,48,329
224,48,331
225,48,333
226,48,335
227,48,337
228,48,339
229,48,341
230,48,343
231,48,345
232,48,347
233,48,349
234,48,351
235,48,353
236,48,355
237,48,357
238,48,359
239,48,361
240,48,363
241,48,365
242,48,367
243,48,369
244,48,371
245,48,373
246,48,375
247,48,377
248,48,379
249,48,381
250,48,383
251,48,385
252,48,387
253,48,389
254,48,391
255,48,393
256,48,395
257,48,397
258,48,399
259,48,401
260,48,403
261,48,405
262,48,407
263,48,409
264,48,411
265,48,413
266,48,415
267,48,417
268,48,419
269,48,421
270,48,423
271,48,425
272,48,427
273,48,429
274,48,431
275,48,433
276,48,435
277,48,437
278,48,439
279,48,441
280,48,443
281,48,445
282,48,447
283,48,449
284,48,451
285,48,453
286,48,455
287,48,457
288,48,459
289,48,461
290,48,463
291,48,465
292,48,467
293,48,469
294,48,471
295,48,473
296,48,475
297,48,477
298,48,479
299,48,481
300,48,483
301,48,485
302,48,487
303,48,489
304,48,491
305,48,493
306,48,495
307,48,497
308,48,499
309,48,501
310,48,503
311,48,505
312,48,507
